Comments,Comment_ID,Reply_Count,Like_Count,Date,VidId,user_ID,Sentiment,DateOnly
Why did he / you ignore r studio column in df_model ?,UgwqZ11HLWyrGprmvg94AaABAg,0,0,2022-01-19 09:27:10+00:00,7O4dpR9QMIM,user_2079,Neutral,2022-01-19
"Is it just me or glassdoor has made its html scrape-proof? I tried reproducing the code but I couldn't comprehend how I could access the elements with company name, salary est., location, etc. The elements are just divs with job ids in class name and no extra attributes to access them. Anyone have a workaround, please help? If possible, can anyone share the link with the dataset you scraped because I really want to follow along with the tutorial. Thanks in advance",Ugx1LFuNn9Wva4J4A4N4AaABAg,0,0,2022-01-19 08:27:38+00:00,GmW4F6MHqqs,user_2125,Positive,2022-01-19
Thank you for your video always !! But I want Korean subtitle !! :),UgwMxBAjemLhKUwNvYV4AaABAg,0,0,2022-01-19 01:57:40+00:00,0jTtHYie3CU,user_5433,Positive,2022-01-19
"Wow, this video is brilliant. My only problem is that the title looks like a clickbait when it actually delivers what it promises haha.
So much chatter around data science these days but very few voices really know the field and of those even fewer have the clarity and generosity to share it in approachable/useful videos like this. Congratulations for the quality of your work and a big thank you.",Ugx78wlnkmd2glAU1FV4AaABAg,0,0,2022-01-18 22:16:57+00:00,rEWPqw6rMGI,user_5611,Positive,2022-01-18
what a guy 🤣,UgykHd04N6-lpiNHWZ94AaABAg,0,0,2022-01-18 19:22:15+00:00,OtqQYqRNDGI,user_5732,Neutral,2022-01-18
thank you for the high quality videos,Ugwv6FRieqNGO5B9vF54AaABAg,0,0,2022-01-18 16:50:39+00:00,xpIFS6jZbe8,user_5108,Positive,2022-01-18
Hey Ken! I was wondering what you think about many people using a single account on Netflix or Amazon prime video? It must impact the recommendation generated for that account but also affect user-user similarity used for recommendations.,UgxGbev-WQCE3Ze6Jsd4AaABAg,0,0,2022-01-18 15:26:48+00:00,m5pwx3hgtzM,user_4209,Positive,2022-01-18
Arrrrrgggghhhhhh.......... the  audio!!,Ugxdxul6GZf3wD_oydl4AaABAg,0,0,2022-01-18 09:44:52+00:00,0jTtHYie3CU,user_1214,Neutral,2022-01-18
it isn't relevant to data science but successfully you catch attention!,UgwVm7EyJPfAtUOOljt4AaABAg,0,0,2022-01-18 09:26:50+00:00,0jTtHYie3CU,user_4146,Positive,2022-01-18
really catch the trend,UgxvQ2aTyyk6oLz0DKR4AaABAg,0,0,2022-01-18 09:22:08+00:00,0jTtHYie3CU,user_4146,Positive,2022-01-18
A boring answer yet practical.,UgypmuA-gsUaks3zrMN4AaABAg,0,0,2022-01-18 09:06:04+00:00,Q9FjwzKFPuM,user_3706,Negative,2022-01-18
"I'm 40, want to live in Asia and work remotely. Which should I choose?",Ugx9V-Qz4ba3gzBApqB4AaABAg,0,0,2022-01-18 08:56:50+00:00,Q9FjwzKFPuM,user_3706,Neutral,2022-01-18
So how can you get a job this way?,Ugw7V6S6nABu8lRq6nJ4AaABAg,0,0,2022-01-18 08:53:34+00:00,4OZip0cgOho,user_3706,Neutral,2022-01-18
Is it realisable to apply deep learning on a real project after four months starting from scratch in this field ?,UgzoodXHSsmX-mS9mIx4AaABAg,0,0,2022-01-18 01:47:21+00:00,xpIFS6jZbe8,user_5153,Positive,2022-01-18
xqcL,UgzuqEYsMvIYlolMu594AaABAg,0,0,2022-01-17 23:54:04+00:00,0jTtHYie3CU,user_1016,Neutral,2022-01-17
"Just saw your comment on another video. It reminds me that I was an audience of u in 2019. Long time no see, Ken !! Glad to see u have almost 200k followers right now~~  Congrats!",Ugyfvy3eIP0ZK4qUJ2d4AaABAg,0,0,2022-01-17 22:18:01+00:00,0jTtHYie3CU,user_44,Positive,2022-01-17
"Hey Ken, can you make a video for highschool students who want to learn more about data science..?",UgzXiIV9a4Rkv0v8Ohd4AaABAg,0,0,2022-01-17 22:03:17+00:00,0jTtHYie3CU,user_3272,Positive,2022-01-17
Audio’s a bit off 🤨,UgwyiitADb_XdopmF314AaABAg,0,0,2022-01-17 20:28:45+00:00,0jTtHYie3CU,user_1655,Neutral,2022-01-17
Who owns kaggle,Ugxo3gO0vl-2J3Tw3bp4AaABAg,0,0,2022-01-17 20:28:09+00:00,n7kjelw9s2w,user_1655,Neutral,2022-01-17
"As a data scientist, that sounds really interesting. Could you expand on it more in future videos?",UgzGEouqZrXVZASouMR4AaABAg,0,0,2022-01-17 20:15:22+00:00,0jTtHYie3CU,user_1770,Positive,2022-01-17
"KEN! When are you dropping the Papaya NFT collection?!?!
#TheNFTsWeNeed 🍈🚀 #PapayasIncToTheMoon",UgwmeP_bCJAgQxRdcip4AaABAg,0,1,2022-01-17 19:27:37+00:00,0jTtHYie3CU,user_2661,Neutral,2022-01-17
"If you enjoy work with data cryptography, niche databases (a lot of projects have their own way of QB and , graph data ... then web3 data science could be interesting for you.",UgyWS4EudnlRjtz9YOZ4AaABAg,0,0,2022-01-17 18:22:37+00:00,0jTtHYie3CU,user_226,Positive,2022-01-17
ah I thought you were gonna say you never did it :x,UgzjyBnaWR_qcSXfbUZ4AaABAg,1,1,2022-01-17 18:00:49+00:00,cnqTU6eJwH0,user_4607,Neutral,2022-01-17
I am excited PERIOD,UgyhNtxvDw_GkCnHSNF4AaABAg,3,4,2022-01-17 17:52:05+00:00,0jTtHYie3CU,user_4607,Positive,2022-01-17
"Great video. Interesting that we sort of agree on the whole thing. Ive been stressing this for a while. The true way to make money in AI (especially in the Web 3 context) is through Data. People often think of big models and fancy architectures in Machine Learning, but that's not the major component",UgzH8edLRHJJQkGC37p4AaABAg,1,5,2022-01-17 17:06:41+00:00,0jTtHYie3CU,user_1271,Positive,2022-01-17
So its already Jan 17. Am I too late to start my #66DaysofData?,UgyGJcCgH4BwQNrCPCx4AaABAg,2,1,2022-01-17 16:32:22+00:00,0jTtHYie3CU,user_1043,Negative,2022-01-17
"Loved your analysis of web 3, Ken! I've also recently researched a bit about blockchain for my CS study. Totally agreed, a lot of loose ends on the web 3 discussion that still needs to be solved before it can become mainstream.",UgwYu_vBvx3e7KwkwpB4AaABAg,1,2,2022-01-17 15:51:14+00:00,0jTtHYie3CU,user_4596,Positive,2022-01-17
Nice perspective. As a computational chemist applying ML methods I'm always highly suspicious about people being too excited about any new methodology. And even though I am a retail investor in crypto projects I just can't imagine most narratives to come true.,UgymPsmqX19Q-UjIRHB4AaABAg,2,1,2022-01-17 15:36:19+00:00,0jTtHYie3CU,user_5302,Positive,2022-01-17
Tell me this position is bad while repeatedly beating it into my soul this position is bad.,UgwotONA2wZYpov-mKt4AaABAg,1,1,2022-01-17 15:20:48+00:00,2RWwN5ZT4tA,user_1037,Negative,2022-01-17
Awesome explanation Ken!!,UgycXmnAJYDx7IdUFqp4AaABAg,1,3,2022-01-17 15:11:26+00:00,0jTtHYie3CU,user_530,Positive,2022-01-17
All Ken's videos during the past year had perfect audio quality .. I think this is just some kind of bug or unexpected thing during editing or upload .. The video is very interesting though so I hope everyone can overlook this one time issue and focus on the topic 🌻,Ugxv9h0WPN4iQVlEy9t4AaABAg,2,1,2022-01-17 14:31:07+00:00,0jTtHYie3CU,user_1889,Positive,2022-01-17
As a data librarian web 3 will be instrumental in making data resources more accessible.,UgyAqkt6pvlrEuptNdl4AaABAg,2,1,2022-01-17 14:21:13+00:00,0jTtHYie3CU,user_1960,Positive,2022-01-17
"Perfect timing with this video!  I've had some articles about web3 on my reading list, so really glad you've nicely introduced us to this topic :)",UgzCIeCcOI7kVgUjN7t4AaABAg,1,3,2022-01-17 14:06:47+00:00,0jTtHYie3CU,user_2138,Positive,2022-01-17
So should I expect a ken and Avery colab? 👀👀,UgxO39WxumyfD3giQRp4AaABAg,1,2,2022-01-17 14:01:40+00:00,0jTtHYie3CU,user_1389,Neutral,2022-01-17
"What I am confused on Data Science and AI with the development of web 3 is, if the data are publicly available- I guess (more like believe) the owner of the data would be kept anonymous. Although there is plenty of data out in the web, how would the business make strategies to reach to their audiences/customers? Wouldn't it be like television/radio/newspaper ads? 
Also, how would the services reach to their probable new customers/audiences? Basically how would AI work for recommendation and how would business collect data to grow their business? 
I don't think the recommendation system would be like throwing anything to the public what they want people to see (not what people want to see.). Facebook and Youtube are not hurt.",Ugyk6LM6qFBE_WIQWLB4AaABAg,1,1,2022-01-17 13:49:38+00:00,0jTtHYie3CU,user_4017,Positive,2022-01-17
Bad audio quality,UgyS7cu0oidH4hj6a2l4AaABAg,1,0,2022-01-17 13:46:21+00:00,0jTtHYie3CU,user_3005,Negative,2022-01-17
"I think video has a audio issue. 
But I watched completely. 
Looking forward to read more about web3",Ugywz0OgAFzgneIqufd4AaABAg,1,21,2022-01-17 13:33:29+00:00,0jTtHYie3CU,user_422,Positive,2022-01-17
Bro your voice has a problem,UgwnMTgUtsMSzlHeDnV4AaABAg,1,0,2022-01-17 13:29:50+00:00,0jTtHYie3CU,user_3040,Neutral,2022-01-17
I believe irrespective of your field exploring blockchain is must to explore topic in current times.,Ugx2VskXRXpSPaEH0u14AaABAg,2,4,2022-01-17 13:06:28+00:00,0jTtHYie3CU,user_659,Neutral,2022-01-17
"Secret web 3 project with?!? What!!!!! That sounds exciting. But seriously, every transaction being publicly available is a pretty cool idea, but also kinda scary. Think about your credit card bill being public. 😩",UgxUwwsJxyoXXTXiCEF4AaABAg,4,2,2022-01-17 13:06:21+00:00,0jTtHYie3CU,user_655,Negative,2022-01-17
I was eagerly waiting for your opinion on this topic.,UgxwsQymXpp_EWJv1tZ4AaABAg,0,4,2022-01-17 13:04:04+00:00,0jTtHYie3CU,user_659,Neutral,2022-01-17
Can you please share how to get started a career in web3 ?,UgzTQ-uzIiFIfz7Xwxp4AaABAg,1,4,2022-01-17 13:01:58+00:00,0jTtHYie3CU,user_3017,Neutral,2022-01-17
"great video, thanks for advice!",UgzlE16jj63PNdnJscp4AaABAg,1,1,2022-01-17 11:08:45+00:00,xpIFS6jZbe8,user_1144,Positive,2022-01-17
"Hey Can you suggest me some beginner python ml ds related projects for college project for college..
And also if you suggest any specific course or video on guide of how should i approach learning ds",UgxTZS41T7LntTYo16t4AaABAg,0,0,2022-01-17 07:59:20+00:00,2RWwN5ZT4tA,user_4550,Neutral,2022-01-17
"Thanks for watching everyone! New web 3 project is going to be an analysis of some web 3 data! What type of web 3 data would you be interested in seeing us analyze? Also, I apologize for the audio poorer audio quality on this one. Using a new camera and I guess I didn't tune it right!",Ugwso6wfUZGHUKEAYi54AaABAg,1,7,2022-01-17 07:02:30+00:00,0jTtHYie3CU,user_2385,Positive,2022-01-17
"I noticed in this video you mention the tools used for a Data Scientist but don't say too much about the math that's used regularly. This seems to be a common trend on ""How to Become a Data Scientist"" videos. They almost exclusively talk about learning Python, R, SQL etc. but rarely go into any detail on the math involved in the field. I'm in a masters program for Data Science and it's pretty heavily math focused to begin. Just an idea for a future video. 

Anyway, thanks for consistently putting content out, you're videos have really helped me in understanding the direction I want to go!",Ugzh__U8LvOxS3VIQrR4AaABAg,1,1,2022-01-17 01:25:14+00:00,rEWPqw6rMGI,user_1697,Positive,2022-01-17
"Is WSL 2, or just linux in general, something I should be familiar with before getting my first job as a data scientist?  What resources should I use to learn?",UgwSLDj9YzXBkoS9c1N4AaABAg,1,1,2022-01-16 21:46:25+00:00,-zbLpoJVBMI,user_1373,Positive,2022-01-16
"Bro you recently suggest me a NLP(beginner) related video. And it was great I got lot from it... Would u plzz suggest me some more but must have a professional level NLP (project type or tutorial will also do the job) video. 
Thanks again ❤️🙌😃😘🙂",Ugxs3arNNcRz2tkEpud4AaABAg,5,3,2022-01-16 14:49:10+00:00,2RWwN5ZT4tA,user_1572,Positive,2022-01-16
"Just because you do not take an interest in politics doesn't mean politics won't take an interest in you.

I think same is happening these days,

Just because you do not take an interest in data science doesn't mean Data Science won't take an interest in you.",Ugx3PRfxFfQ_vgdpJPV4AaABAg,1,2,2022-01-16 11:55:45+00:00,rEWPqw6rMGI,user_3452,Negative,2022-01-16
This video will be definitely useful  💯 for some of my friends or data science aspirants but I think it requires little base to understand some terms as some are completely unaware about it🙃,UgxgMO9-sy3Pu1_6n4F4AaABAg,1,2,2022-01-16 11:50:17+00:00,rEWPqw6rMGI,user_3452,Negative,2022-01-16
Both ad campaign are good 🙌😂 like In 1st case ppl will impacted by doctors advice and in 2nd case 25% off🙃,UgzLGLP39g-aBn28Ir54AaABAg,1,2,2022-01-16 11:30:10+00:00,rEWPqw6rMGI,user_3452,Positive,2022-01-16
Sir I got selected for data scientist internship.in that  internship  they will calculate performance evaluation ... please give me some suggestions sir.. what are courses are most useful for data scientist job,Ugxj7exP_7WLh_-8ckt4AaABAg,1,1,2022-01-16 10:28:00+00:00,KHAuuOQui2U,user_953,Positive,2022-01-16
"Data Science:

1.excell 
2.SQL 
3.python 
4.tableue 
5.Statistics SPSS 
6.tensorflow 
7.pandas/numby  
8.IDE Jupyter",UgwqHyHGCEegAGHvh9J4AaABAg,1,2,2022-01-16 01:38:58+00:00,rEWPqw6rMGI,user_5552,Neutral,2022-01-16
"How about don't learn data science lol. I'm sorry but the only benefit is that it pays REALLY well. It lacks creativity, is stressful because of the pressure that corporations put on your utilitarian ""skills"" you bring to the table to asses and translate data. Its a hard job. I'd pass.",UgwBa7jmudw0HxHWYhJ4AaABAg,1,0,2022-01-15 20:14:48+00:00,xpIFS6jZbe8,user_2518,Neutral,2022-01-15
this video doesnt explain or demonstrate anything about devs enviroment or how to save your work,UgwSulP6DkKxJr8p8NV4AaABAg,1,0,2022-01-15 17:17:03+00:00,C4OPn58BLaU,user_3322,Neutral,2022-01-15
ORAGANIZING? I have so many questions.,UgxFBjFln3FWUKWCoRB4AaABAg,1,1,2022-01-15 14:26:10+00:00,rEWPqw6rMGI,user_2534,Positive,2022-01-15
"As a data engineer at the largest shipping company in the world, I can tell you this: a data scientist is nothing without a data engineer and a data engineer is nothing without a software engineer. You need the three of them working together.",UgwHcQ4DNKsgKY8ZgF54AaABAg,2,1,2022-01-15 13:37:38+00:00,vwvdtXMcNzI,user_2256,Neutral,2022-01-15
No,Ugy-rljZ-DeN_y-mGNN4AaABAg,1,1,2022-01-15 12:24:06+00:00,2RWwN5ZT4tA,user_5753,Neutral,2022-01-15
"Hi Ken, I'm 37 years old and from Banking industry. Studied accountancy and economics. I have been contemplating about doing data science for past a couple of years as i have never felt too confident about it.

Data is definitely important but people doing masters/major in statistics will have upper hand to people who are doing data science course with no prior engineering background.
Also, people who know various coding languages might again have upper hand.
Rest you have in the job training.

Please share your response. I want to learn data science but I'm not feeling too confident about it's future for someone with my background.",UgwY456JQukh5wSh4ch4AaABAg,2,1,2022-01-15 07:02:03+00:00,2qVWurPFwfc,user_255,Positive,2022-01-15
Will really love to see more of this story telling content ...so educative and interesting,UgzhROzeVx63SUGUZoF4AaABAg,1,1,2022-01-14 23:04:11+00:00,scSc6YSanQ0,user_464,Positive,2022-01-14
Any full playlist that of data science you have taught from scratch ?,UgxIOp5fAA7as9WIb654AaABAg,0,0,2022-01-14 20:06:58+00:00,Ip50cXvpWY4,user_5030,Positive,2022-01-14
"Even with all these ""strange"" job aspects, I still decided to take the job because of the once-in-a-lifetime opportunity to work with Ken!! 🙌🏼 
#PapayasIncToTheMoon 🍈🚀 #WeAreGonnaBuildSoManyPapayaDashboardsKen",Ugzz5frloXT-05IObTN4AaABAg,1,7,2022-01-14 15:43:22+00:00,2RWwN5ZT4tA,user_2661,Negative,2022-01-14
"Hello, Where do i learn about pc hardware specs for beginners.",Ugy06JDoRuAl0Jzf0cZ4AaABAg,0,0,2022-01-14 13:02:34+00:00,QQLToUlgN7A,user_737,Neutral,2022-01-14
"I've had this many times in my field as well. Sad, they think they're doing you a favor",Ugx32WLS5b4nNSXJrnF4AaABAg,0,1,2022-01-14 12:06:35+00:00,2RWwN5ZT4tA,user_1594,Neutral,2022-01-14
"Ah, I see you've met my former employer",Ugy5kDIc_YUWZQY3E_J4AaABAg,3,2,2022-01-14 11:51:17+00:00,2RWwN5ZT4tA,user_2569,Neutral,2022-01-14
"I mean if ken's offering it, he should take it blindly, I mean he gets ken as his coworker what else can anyone ask for? 😳",UgwCkuVPRi_eDOYbQY94AaABAg,4,7,2022-01-14 11:13:18+00:00,2RWwN5ZT4tA,user_1389,Negative,2022-01-14
this aint even a joke lol,UgxNbe7PNy1wrXVi3HV4AaABAg,1,2,2022-01-14 10:55:43+00:00,2RWwN5ZT4tA,user_4401,Positive,2022-01-14
Love your videos ❤️,UgwIcKSVU1yAgfeyXiZ4AaABAg,1,2,2022-01-14 10:03:47+00:00,2RWwN5ZT4tA,user_895,Positive,2022-01-14
"I just finished an online bootcamp course and this content effectively summarizes what I've learned thus far. This solidified my knowledge and I'm glad to know that I'm on the right track.

I hope you keep on making content like this to educate people like us who aspire to practice a career in the fascinating Data Science field!!",UgzAm6AVj83WcUVy3Ih4AaABAg,1,1,2022-01-14 05:38:58+00:00,rEWPqw6rMGI,user_2252,Positive,2022-01-14
"Thanks for this straightforward and in-depth explanation! I'm a beginner in DS, and I'm looking forward to applying it in my practice as a biomedical scientist, especially with a focus on infectious diseases.",Ugwlg_0eCZevwLrprMd4AaABAg,1,2,2022-01-13 19:39:33+00:00,rEWPqw6rMGI,user_1476,Positive,2022-01-13
"Wow this is so interesting! How crazy the consequences of unsupervised machine learning that went wrong. Great video, Ken! Very well done! I really enjoyed this kind of analysis of real life problems we're facing.",UgxRUsUQWK1ZbJxJfJ94AaABAg,1,2,2022-01-13 17:21:28+00:00,FqNpDNmpcEo,user_4596,Positive,2022-01-13
"https://youtu.be/p4MPvter1Ng
pandas tutorials",UgwgLVrUJyShOHngTZN4AaABAg,0,0,2022-01-13 13:17:30+00:00,8Pi36Nj6P9A,user_2513,Neutral,2022-01-13
This will be a great help ♥️,UgwoBYWTP91rcNl4QNJ4AaABAg,1,1,2022-01-13 11:33:11+00:00,1FrY7ARSf10,user_3808,Positive,2022-01-13
"Worth to watch video for a beginner like me before embarking onto the data science learning journey,",UgwmLx-SNSkaesZQ-nh4AaABAg,2,2,2022-01-13 09:08:43+00:00,XWetgrNas-k,user_1053,Positive,2022-01-13
Great insights .,UgzaVHj8oQvEQrEhnn54AaABAg,0,1,2022-01-13 09:07:18+00:00,XWetgrNas-k,user_1053,Positive,2022-01-13
I think it's interesting that you differntiate Data Science from Statistics. I guess it's a matter of semantics but I've never heard someone else say that,UgwTGistZqzSjsvXcsh4AaABAg,1,1,2022-01-13 05:10:19+00:00,rEWPqw6rMGI,user_1271,Positive,2022-01-13
"You give us a clear introduction for data scientist, thanks.",UgywVIHfZtuBktvvpjJ4AaABAg,1,1,2022-01-13 05:04:43+00:00,rEWPqw6rMGI,user_1637,Positive,2022-01-13
My only complaint might be that they made it too easy and the value of the cert might not be that high.,UgwKHPGXghrEczx2Dbd4AaABAg,1,1,2022-01-12 22:42:50+00:00,o-wsyxWbPOw,user_3319,Positive,2022-01-12
great stuff! I am in the process of hopefully moving into the Data Science world for my career and your videos are huge helps in my research to learn and understand in order to make the correct decisions for myself and career. Keep them coming.,UgzDlgpZRfQD_62Gyxl4AaABAg,1,2,2022-01-12 19:56:33+00:00,rEWPqw6rMGI,user_905,Positive,2022-01-12
Man your voice is so so good...I mean full of confidence and energetic...I really love your voice and your valuable tips too 💯🤩,Ugzjc6aR67wZfhbMpeF4AaABAg,1,1,2022-01-12 11:39:25+00:00,rEWPqw6rMGI,user_3222,Positive,2022-01-12
"Thank you so much.
I have a quick question.
I am mid-career and switching to data science.
After completing your suggested course work on this video, how necessary do you believe an MS degree would be?
Thanks again. I look forward to hearing from you. Jackie",Ugxw3WszyqhqNejKjSx4AaABAg,2,1,2022-01-12 09:59:35+00:00,Ip50cXvpWY4,user_1984,Positive,2022-01-12
"Awesome! I love its simplicity. Well done, Ken!",UgyQibkMBntvNJtao8B4AaABAg,1,1,2022-01-12 09:44:27+00:00,rEWPqw6rMGI,user_3258,Positive,2022-01-12
I am just here for the Z shirt.,UgzpeMvfzIjHDxLqPmZ4AaABAg,1,1,2022-01-12 06:24:54+00:00,rEWPqw6rMGI,user_4068,Neutral,2022-01-12
Bayesian Learning will be very important. The BBN ability to operate probabilistically and work with incomplete evidence is quite powerful. It can also allow for interesting dataset quality/Imputation checks. I don't know why more people don't talk about this,Ugwrp6n6WT4cF1CTpkV4AaABAg,0,1,2022-01-12 04:32:38+00:00,15c7WD-lKUY,user_1271,Positive,2022-01-12
Is there a way to make the links in the page open on a new tab instead of the same tab?,UgwR9N5n-s-K5O_0FCF4AaABAg,0,0,2022-01-12 04:32:31+00:00,1aXk2RViq3c,user_555,Neutral,2022-01-12
"Love the explanation of what DS is currently.  It feels to me like the most interesting work is where the limits of our understanding math and the limits of computing power meet, forcing innovations.

Great vid as always!",Ugx00I392FDWRUcCpGZ4AaABAg,1,3,2022-01-12 02:51:10+00:00,rEWPqw6rMGI,user_95,Positive,2022-01-12
Just sent this to my brother and parents. Thanks ken :D,UgwCiPe38SbtCWq9p9x4AaABAg,1,1,2022-01-11 23:16:10+00:00,rEWPqw6rMGI,user_5274,Positive,2022-01-11
Thank you 🙏🏽 so helpful!,UgzwCLrOaHnPZvYE2yN4AaABAg,1,1,2022-01-11 19:20:25+00:00,rEWPqw6rMGI,user_2701,Neutral,2022-01-11
6:32 or if it was smashed or not,UgyoWRw0BU8wWEy66Md4AaABAg,1,1,2022-01-11 19:03:28+00:00,rEWPqw6rMGI,user_11,Neutral,2022-01-11
Another great example outside of data science is medical laboratory science. Over the years it has become more and more automated with more machines doing lab tests.. but all that has created is the ability to do more volume. We need people to interpret the results and make sure they are okay. Machines break down all the time and the job is VERY much in demand.,UgwuiKphBwJO6-1W5A94AaABAg,1,1,2022-01-11 18:51:18+00:00,2qVWurPFwfc,user_1952,Positive,2022-01-11
Really helpful even to data science aspirants. 😇🙏,Ugz7VKCwxtJagA-kdO54AaABAg,1,2,2022-01-11 17:35:23+00:00,rEWPqw6rMGI,user_1355,Positive,2022-01-11
People need it.  If they say they don't they are hiring the skills under multiple / different job titles.,UgyY6oREqdX_Ya2D8z14AaABAg,0,1,2022-01-11 16:48:33+00:00,2qVWurPFwfc,user_3668,Neutral,2022-01-11
